Rozmiar tablicy 	 Srednia liczba porownan
        10              	4.70
        20              	6.35
        30              	7.38
        40              	8.03
        50              	8.72
        60              	9.04
        70              	9.44
        80              	10.16
        90              	10.21
       100              	10.60
       110              	10.97
       120              	11.05
       130              	11.34
       140              	11.41
       150              	11.71
       160              	11.96
       170              	12.27
       180              	12.16
       190              	12.42
       200              	12.51
       210              	12.61
       220              	12.74
       230              	12.91
       240              	12.94
       250              	13.12
       260              	13.20
       270              	13.28
       280              	13.42
       290              	13.58
       300              	13.70
       310              	13.73
       320              	13.78
       330              	13.96
       340              	14.09
       350              	14.29
       360              	14.14
       370              	14.28
       380              	14.33
       390              	14.58
       400              	14.44
       410              	14.61
       420              	14.66
       430              	14.68
       440              	14.55
       450              	14.74
       460              	14.72
       470              	14.67
       480              	14.92
       490              	14.93
       500              	15.07
       510              	14.98
       520              	15.14
       530              	15.02
       540              	15.16
       550              	15.22
       560              	15.29
       570              	15.43
       580              	15.53
       590              	15.42
       600              	15.53
       610              	15.55
       620              	15.79
       630              	15.65
       640              	15.89
       650              	15.91
       660              	15.79
       670              	15.83
       680              	15.88
       690              	15.94
       700              	16.01
       710              	16.37
       720              	16.05
       730              	16.31
       740              	15.98
       750              	16.26
       760              	16.37
       770              	16.17
       780              	16.52
       790              	16.51
       800              	16.31
       810              	16.33
       820              	16.38
       830              	16.48
       840              	16.42
       850              	16.34
       860              	16.72
       870              	16.65
       880              	16.74
       890              	16.77
       900              	16.80
       910              	16.68
       920              	16.81
       930              	16.67
       940              	16.87
       950              	16.90
       960              	16.81
       970              	16.80
       980              	16.77
       990              	16.89
      1000              	16.93
