Rozmiar_tablicy 	 Srednia_liczba_porownan
        10              	68.00
        20              	303.49
        30              	718.74
        40              	1313.83
        50              	2086.32
        60              	3069.95
        70              	4217.83
        80              	5577.24
        90              	7092.14
       100              	8837.73
       110              	10726.36
       120              	12798.45
       130              	15156.34
       140              	17615.05
       150              	20204.55
       160              	23218.61
       170              	26202.60
       180              	29595.50
       190              	32957.06
       200              	36567.05
       210              	40380.89
       220              	44576.57
       230              	48691.35
       240              	53158.62
       250              	57522.74
       260              	62554.97
       270              	67591.09
       280              	72538.33
       290              	77867.58
       300              	83754.68
       310              	89428.93
       320              	95558.68
       330              	101535.65
       340              	107972.18
       350              	114813.32
       360              	121385.08
       370              	128381.00
       380              	135270.03
       390              	142730.71
       400              	150023.60
       410              	157880.95
       420              	166161.99
       430              	174426.25
       440              	182070.42
       450              	191098.89
       460              	199604.87
       470              	208006.19
       480              	217359.18
       490              	226698.44
       500              	236425.70
       510              	245550.76
       520              	255508.89
       530              	265860.59
       540              	276420.76
       550              	287130.84
       560              	297707.75
       570              	308368.98
       580              	319522.89
       590              	330219.91
       600              	341478.52
       610              	353381.39
       620              	365512.69
       630              	377778.03
       640              	389966.36
       650              	402217.10
       660              	414663.89
       670              	427782.02
       680              	440539.27
       690              	453922.85
       700              	467284.30
       710              	480134.80
       720              	494167.26
       730              	508647.36
       740              	523234.17
       750              	537122.13
       760              	551359.61
       770              	567021.38
       780              	581476.76
       790              	596986.59
       800              	611265.36
       810              	627769.44
       820              	643402.31
       830              	659408.15
       840              	674272.42
       850              	691985.94
       860              	708256.67
       870              	725156.17
       880              	741790.74
       890              	758821.95
       900              	776822.30
       910              	793939.69
       920              	812382.21
       930              	830579.88
       940              	848042.83
       950              	866268.08
       960              	884569.13
       970              	903651.61
       980              	922311.98
       990              	943436.77
      1000              	961870.17
