Rozmiar tablicy 	 Srednia liczba porownan
        10              	2.50
        20              	3.11
        30              	3.42
        40              	3.59
        50              	3.70
        60              	3.97
        70              	3.99
        80              	3.98
        90              	4.24
       100              	4.17
       110              	4.28
       120              	4.25
       130              	4.45
       140              	4.40
       150              	4.52
       160              	4.42
       170              	4.61
       180              	4.71
       190              	4.69
       200              	4.65
       210              	4.61
       220              	4.70
       230              	4.76
       240              	4.80
       250              	4.66
       260              	4.97
       270              	4.79
       280              	4.82
       290              	4.81
       300              	4.94
       310              	5.01
       320              	4.85
       330              	4.97
       340              	4.92
       350              	5.14
       360              	4.92
       370              	4.96
       380              	4.95
       390              	4.96
       400              	5.01
       410              	5.05
       420              	5.07
       430              	5.06
       440              	5.08
       450              	5.11
       460              	5.01
       470              	5.14
       480              	5.13
       490              	5.03
       500              	5.15
       510              	5.10
       520              	5.17
       530              	5.04
       540              	5.17
       550              	5.18
       560              	5.14
       570              	5.09
       580              	5.34
       590              	5.18
       600              	5.14
       610              	5.20
       620              	5.19
       630              	5.17
       640              	5.17
       650              	5.22
       660              	5.20
       670              	5.27
       680              	5.24
       690              	5.25
       700              	5.16
       710              	5.30
       720              	5.30
       730              	5.26
       740              	5.31
       750              	5.33
       760              	5.32
       770              	5.21
       780              	5.31
       790              	5.37
       800              	5.46
       810              	5.38
       820              	5.39
       830              	5.35
       840              	5.37
       850              	5.28
       860              	5.38
       870              	5.38
       880              	5.39
       890              	5.36
       900              	5.35
       910              	5.47
       920              	5.48
       930              	5.34
       940              	5.38
       950              	5.51
       960              	5.29
       970              	5.55
       980              	5.54
       990              	5.35
      1000              	5.38
