Rozmiar tablicy 	 Srednia liczba porownan
        10              	24.29
        20              	70.66
        30              	127.69
        40              	191.89
        50              	258.99
        60              	331.24
        70              	405.74
        80              	485.37
        90              	567.26
       100              	647.21
       110              	732.73
       120              	816.52
       130              	905.84
       140              	1000.50
       150              	1089.91
       160              	1181.74
       170              	1273.57
       180              	1372.91
       190              	1466.75
       200              	1560.83
       210              	1661.20
       220              	1760.08
       230              	1862.14
       240              	1961.46
       250              	2058.73
       260              	2169.76
       270              	2275.51
       280              	2369.92
       290              	2465.08
       300              	2581.30
       310              	2689.52
       320              	2802.05
       330              	2900.85
       340              	3019.75
       350              	3122.40
       360              	3231.74
       370              	3350.10
       380              	3433.01
       390              	3548.69
       400              	3691.74
       410              	3774.04
       420              	3877.54
       430              	4011.08
       440              	4139.73
       450              	4237.04
       460              	4331.27
       470              	4458.55
       480              	4577.48
       490              	4707.35
       500              	4791.96
       510              	4929.07
       520              	5048.39
       530              	5154.08
       540              	5262.97
       550              	5396.74
       560              	5505.60
       570              	5598.30
       580              	5759.22
       590              	5874.29
       600              	5976.37
       610              	6089.47
       620              	6236.17
       630              	6365.48
       640              	6468.16
       650              	6560.88
       660              	6694.05
       670              	6816.31
       680              	6944.71
       690              	7065.49
       700              	7207.96
       710              	7318.05
       720              	7432.90
       730              	7569.57
       740              	7719.31
       750              	7807.43
       760              	7946.44
       770              	8048.89
       780              	8196.93
       790              	8299.52
       800              	8401.25
       810              	8582.35
       820              	8687.63
       830              	8817.28
       840              	8938.96
       850              	9067.03
       860              	9191.17
       870              	9270.57
       880              	9445.44
       890              	9562.55
       900              	9682.88
       910              	9823.29
       920              	9958.01
       930              	10122.53
       940              	10215.17
       950              	10340.91
       960              	10512.69
       970              	10563.86
       980              	10731.58
       990              	10883.33
      1000              	11031.44
