Rozmiar tablicy 	 Srednia liczba porownan
        10              	5.43
        20              	10.91
        30              	16.06
        40              	20.61
        50              	25.22
        60              	31.03
        70              	36.66
        80              	42.73
        90              	46.47
       100              	52.82
       110              	59.29
       120              	56.32
       130              	69.93
       140              	68.95
       150              	79.71
       160              	75.44
       170              	84.60
       180              	84.67
       190              	99.21
       200              	91.88
       210              	120.51
       220              	100.77
       230              	113.09
       240              	115.10
       250              	117.44
       260              	126.86
       270              	116.82
       280              	138.87
       290              	157.94
       300              	165.03
       310              	159.51
       320              	167.03
       330              	162.83
       340              	166.46
       350              	159.55
       360              	173.13
       370              	179.64
       380              	188.32
       390              	191.47
       400              	180.64
       410              	205.03
       420              	205.08
       430              	205.77
       440              	227.34
       450              	214.87
       460              	230.71
       470              	231.63
       480              	237.85
       490              	245.76
       500              	267.09
       510              	244.73
       520              	283.06
       530              	275.14
       540              	267.42
       550              	257.52
       560              	306.45
       570              	287.68
       580              	332.02
       590              	296.74
       600              	317.60
       610              	299.47
       620              	317.24
       630              	327.96
       640              	331.13
       650              	323.43
       660              	340.45
       670              	336.45
       680              	315.42
       690              	356.71
       700              	350.09
       710              	363.29
       720              	374.34
       730              	308.35
       740              	367.81
       750              	371.41
       760              	367.33
       770              	363.98
       780              	399.06
       790              	390.99
       800              	387.60
       810              	420.50
       820              	440.25
       830              	406.73
       840              	456.96
       850              	435.17
       860              	400.20
       870              	421.01
       880              	384.02
       890              	441.59
       900              	434.89
       910              	385.10
       920              	452.62
       930              	453.21
       940              	437.20
       950              	471.81
       960              	483.07
       970              	480.23
       980              	474.54
       990              	524.22
      1000              	491.11
